separation_um,integrated_value
3490.0,1420585.2648290908
3500.0,1368514.7682435408
3510.0,1347965.005290566
3520.0,1367106.7858035818
3530.0,1416629.1947008343
3540.0,1474029.8717575143
3550.0,1514112.8297477048
3560.0,1520709.6965997126
3570.0,1493931.9344117225
3580.0,1449401.325813233
3590.0,1409896.4766789845
3600.0,1393693.816321371
3610.0,1405578.2053436122
3620.0,1435117.0704168899
3630.0,1462994.8067598785
3640.0,1471950.7664103284
3650.0,1456406.1890841732
3660.0,1425547.663210907
3670.0,1398145.5452846973
3680.0,1391880.7623306806
3690.0,1413013.9464477715
3700.0,1452162.4550624485
3710.0,1488723.100229823
3720.0,1501782.3836018299
3730.0,1481723.3312694684
3740.0,1436178.9090704462
3750.0,1386875.8447955323
3760.0,1358764.3569313134
3770.0,1367044.4334967565
3780.0,1408975.8885306595
3790.0,1464946.6367069804
3800.0,1508407.551836866
3810.0,1519546.5997589475
3820.0,1495519.3029073984
3830.0,1451811.8277853779
3840.0,1413979.0515254152
3850.0,1404095.4569245279
3860.0,1429061.0112092255
3870.0,1476917.3158108045
3880.0,1523080.3202547687
3890.0,1543157.0724027385
3900.0,1525576.2941206198
3910.0,1477436.8539723908
3920.0,1420632.9277053175
3930.0,1380465.6509819282
3940.0,1372845.176167294
3950.0,1396784.2030436413
3960.0,1435934.8338287326
3970.0,1468065.556962516
3980.0,1477230.162298737
3990.0,1462119.7575554599
4000.0,1436298.5565454904
