distance,integrated_intensity_Pa_mm
1680.0,53.021267858690834
1685.0,55.16766414654806
1690.0,57.363337579712784
1695.0,59.38090010782671
1700.0,61.05232102948296
1705.0,62.244879780503226
1710.0,62.86430334004445
1715.0,62.86492948547866
1720.0,62.259968877037394
1725.0,61.32418747489878
1730.0,60.226110667763
1735.0,58.99191452900298
1740.0,57.6540631909579
1745.0,56.68528956673919
1750.0,56.09317080484108
1755.0,55.577721533680084
1760.0,55.04269972423047
1765.0,54.425167698212924
1770.0,53.70460299755192
1775.0,53.01310037325423
1780.0,52.62492741573351
1785.0,52.30413206246743
1790.0,51.972300536435824
1795.0,52.89161150151547
1800.0,53.87177740417243
1805.0,54.653161620121566
1810.0,55.171000890123665
1815.0,55.36749230950859
1820.0,55.19266142374968
1825.0,54.68856642196392
1830.0,53.99842431484122
1835.0,53.31350559559258
1840.0,52.82347577583094
1845.0,52.678714977934845
1850.0,52.8828181499111
1855.0,53.31363454263608
1860.0,53.57068567641902
1865.0,53.59943452669772
1870.0,53.523770502215335
1875.0,53.704338535954406
1880.0,54.11858035863875
1885.0,54.55888498549138
1890.0,54.96842193612934
1895.0,55.423656339706184
1900.0,56.101482771702884
1905.0,57.02448461485395
1910.0,57.96997589678693
1915.0,58.71232999365722
1920.0,59.109857417637656
1925.0,59.076911150186376
1930.0,58.556934321448786
1935.0,57.526729092112454
1940.0,56.01050465153911
1945.0,54.091526377139004
1950.0,51.98588424346783
1955.0,49.935063526817075
1960.0,47.87689263197385
1965.0,45.882278095298155
1970.0,44.66397353308014
1975.0,45.10482276022603
1980.0,46.25772716338309
1985.0,47.998441778499334
1990.0,50.003654442086976
1995.0,52.12038168075034
2000.0,54.28633249938051
2005.0,56.3273484531156
2010.0,58.023697258842056
2015.0,59.286387324026315
2020.0,60.03851390848335
2025.0,60.23681940717751
2030.0,59.88863769045367
2035.0,59.03056512085863
2040.0,57.716998453692135
2045.0,56.094123361926215
2050.0,54.37024998341521
2055.0,52.61717668617064
2060.0,51.008597053490725
2065.0,49.66207787887891
2070.0,48.695400583447466
2075.0,49.11544792237274
2080.0,51.52292291055996
2085.0,54.47714479664751
2090.0,57.29910971587901
2095.0,59.6821529030497
2100.0,61.41442356348154
2105.0,62.36582467362493
2110.0,62.471483951766686
2115.0,61.70793992553494
2120.0,60.139797042104064
2125.0,57.831065772598436
2130.0,54.88156369879215
2135.0,51.49080938149584
2140.0,48.61635080892759
2145.0,46.34972322180012
2150.0,45.401985029938274
2155.0,46.42211264682395
2160.0,48.358556467023604
2165.0,50.72546837832235
2170.0,53.13193951957331
2175.0,55.326939041537976
2180.0,57.165393191044885
2185.0,58.53231406631903
2190.0,59.35776089397495
2195.0,59.51463798957957
2200.0,58.88342625604367
2205.0,57.49774611938629
2210.0,55.52401357172403
2215.0,53.105290805069586
2220.0,50.390086955311496
2225.0,47.52643194215052
2230.0,44.99513525757018
2235.0,43.01462339126752
2240.0,42.39291431450446
2245.0,44.20598213048456
2250.0,47.702274110279035
2255.0,51.4545898544135
2260.0,54.8743938899665
2265.0,57.64582706423403
2270.0,59.56496580487164
2275.0,60.51356712094138
2280.0,60.45296387186736
2285.0,59.43410926924691
2290.0,57.63146420608495
2295.0,55.33682609000239
2300.0,52.77997246406766
