separation_um,separation_mm,Iint_W_per_m,Iavg_W_per_m2,integrated_prms_Pa_mm
680.0,0.68,1.3320706782671704e-05,0.002003202831439311,113.07950924142966
690.0,0.6900000000000001,1.4031845974013794e-05,0.002110145808631563,101.88781396703936
700.0,0.7000000000000001,1.2639733675117067e-05,0.0019007963090645372,78.42761836860258
710.0,0.71,9.882745643731432e-06,0.0014861932162391353,47.03570406565922
720.0,0.72,7.121481533655298e-06,0.0010709470754824172,29.76949769144795
730.0,0.73,5.671096761697048e-06,0.000852834408544748,58.76658340209991
740.0,0.74,6.181462478956728e-06,0.0009295845439965765,86.2911090411837
750.0,0.75,8.353722745925732e-06,0.0012562547416377454,104.8816598377849
760.0,0.76,1.1112479744840389e-05,0.0016711238564408601,112.74047331418278
770.0,0.77,1.3136084490172628e-05,0.001975438846756301,108.14275932758356
780.0,0.78,1.3485210866803004e-05,0.0020279413871699898,90.60722413895333
790.0,0.79,1.2033881411250998e-05,0.001809686656235214,63.012753710228814
800.0,0.8,9.508461945634168e-06,0.0014299074518256919,32.82235048557772
810.0,0.81,7.127274940910008e-06,0.00107181830326377,47.115805502225875
820.0,0.8200000000000001,6.018179239832581e-06,0.0009050295821408311,75.54404698956755
830.0,0.8300000000000001,6.6897733296084085e-06,0.0010060256632171698,97.56388443206917
840.0,0.84,8.801386119074086e-06,0.0013235755340891648,109.50490352680335
850.0,0.85,1.1334481905137987e-05,0.0017045091237055299,111.09082009112203
860.0,0.86,1.3080528253261897e-05,0.0019670841541037714,99.86087314838322
870.0,0.87,1.3214123110066736e-05,0.001987174499142018,77.2168708400091
880.0,0.88,1.1681992707955635e-05,0.0017567687098909738,47.73754924654087
890.0,0.89,9.22550205005667e-06,0.001387355200413479,37.56929155880116
900.0,0.9,7.026338893901081e-06,0.0010566392757195558,64.48923415290946
910.0,0.91,6.142457654722092e-06,0.0009237188962031535,88.88261557364586
920.0,0.92,7.001378377326663e-06,0.0010528856477558274,104.55251849078687
930.0,0.93,9.192720353723612e-06,0.0013824254029196111,110.84222869077581
940.0,0.9400000000000001,1.1661575969304696e-05,0.0017536983871714977,105.94581430068315
950.0,0.9500000000000001,1.321369316717792e-05,0.0019871098432024882,88.99043101377276
960.0,0.96,1.309247067263512e-05,0.001968880086458787,62.85096536112273
970.0,0.97,1.1349688425464603e-05,0.0017067959201249392,36.19625132480307
980.0,0.98,8.827479782929527e-06,0.0013274995677137048,53.88381143223035
990.0,0.99,6.755009321428602e-06,0.0010158360228067946,79.33741887499778
1000.0,1.0,6.151264158087525e-06,0.0009250432412821746,98.18591386146485
